ZIP_CODE,DELIVERY_TYPE,NET_MV,TUE_NET_MV,TUE_MV_PCT,WED_NET_MV,WED_MV_PCT,THU_NET_MV,THU_MV_PCT,SUN_NET_MV,SUN_MV_PCT,ORDER_COUNT
07604,FULFLLD,331.240000,61.410000,0.185394276054,,,,,269.830000,0.814605723946,7
07041,FULFLLD,331.170000,331.170000,1.000000000000,,,,,,,5
10467,FULFLLD,286.310000,,,,,,,,,3
07201,FULFLLD,59.670000,,,,,13.310000,0.223060164237,46.360000,0.776939835763,3
11368,FULFLLD,983.020000,328.270000,0.333940306403,,,289.020000,0.294012329352,365.730000,0.372047364245,7
10552,FULFLLD,77.110000,,,,,,,,,2
11050,DIRECT_VIA_NASH,25.730000,25.730000,1.000000000000,,,,,,,1
07920,DIRECT_VIA_NASH,32.200000,,,,,,,,,1
11103,FULFLLD,4841.520000,857.390000,0.177091078835,,,677.200000,0.139873428180,2231.940000,0.460999851286,75
11210,FULFLLD,2689.940000,,,,,82.440000,0.030647523737,814.480000,0.302787422768,45
10019,FULFLLD,37969.350000,11191.070000,0.294739572840,,,5864.930000,0.154464851255,13824.730000,0.364102361510,753
10573,FULFLLD,906.150000,,,,,97.880000,0.108017436407,,,26
10016,FULFLLD,32770.890000,6173.430000,0.188381517865,,,5754.050000,0.175584184622,8178.750000,0.249573630744,570
11215,FULFLLD,32082.810000,6430.220000,0.200425710840,,,2889.720000,0.090070664010,8166.890000,0.254556567832,579
10030,FULFLLD,2769.500000,1004.200000,0.362592525727,,,284.560000,0.102747788409,994.140000,0.358960101101,43
10280,FULFLLD,6631.140000,661.990000,0.099830496717,,,241.980000,0.036491463006,3481.310000,0.524994194060,101
07306,FULFLLD,9449.710000,1703.410000,0.180260558261,,,1452.240000,0.153680906610,4557.900000,0.482332262048,221
07065,FULFLLD,172.950000,,,,,,,172.950000,1.000000000000,11
06906,FULFLLD,2389.450000,,,,,2389.450000,1.000000000000,,,29
07081,FULFLLD,338.200000,,,,,,,338.200000,1.000000000000,7
07950,DIRECT_VIA_NASH,288.850000,52.700000,0.182447637182,34.170000,0.118296693786,90.060000,0.311788125325,,,6
07016,FULFLLD,1139.970000,167.590000,0.147012640684,,,,,244.590000,0.214558277849,19
10522,FULFLLD,598.710000,,,,,,,,,7
07077,FULFLLD,660.820000,241.360000,0.365243182712,,,112.240000,0.169849580824,307.220000,0.464907236464,6
10312,FULFLLD,1363.510000,,,,,,,1363.510000,1.000000000000,13
11040,DIRECT_VIA_NASH,518.450000,260.970000,0.503365801910,,,,,183.080000,0.353129520687,6
07645,DIRECT_VIA_NASH,177.640000,54.630000,0.307532087368,,,73.810000,0.415503265030,,,3
07001,FULFLLD,79.700000,,,,,79.700000,1.000000000000,,,4
07670,DIRECT_VIA_NASH,80.470000,47.120000,0.585559835964,,,,,33.350000,0.414440164036,2
11378,FULFLLD,43.790000,43.790000,1.000000000000,,,,,,,2
08879,FULFLLD,60.120000,,,,,,,60.120000,1.000000000000,3
10805,DIRECT_VIA_NASH,42.410000,42.410000,1.000000000000,,,,,,,1
06853,DIRECT_VIA_NASH,79.830000,79.830000,1.000000000000,,,,,,,1
11753,DIRECT_VIA_NASH,74.990000,74.990000,1.000000000000,,,,,,,1
07020,FULFLLD,4930.250000,1355.540000,0.274943461285,,,341.020000,0.069168906242,2130.470000,0.432122103342,83
10022,DOORDASH,14711.770000,4740.710000,0.322239268287,,,2246.450000,0.152697466042,4892.500000,0.332556857537,274
07305,FULFLLD,5188.810000,1604.990000,0.309317550652,,,1251.000000,0.241095742569,1836.050000,0.353847992122,97
07010,FULFLLD,3993.460000,545.340000,0.136558272776,,,1919.350000,0.480623319127,1433.090000,0.358859234849,83
10580,FULFLLD,2125.430000,,,,,2125.430000,1.000000000000,,,20
07090,FULFLLD,2417.270000,979.870000,0.405362247494,,,,,855.120000,0.353754441994,64
10701,FULFLLD,1203.540000,,,,,,,,,19
06902,FULFLLD,2600.180000,,,,,2600.180000,1.000000000000,,,50
06870,FULFLLD,148.000000,,,,,148.000000,1.000000000000,,,5
07054,FULFLLD,413.750000,413.750000,1.000000000000,,,,,,,8
10710,FULFLLD,1030.830000,,,,,,,,,12
10302,FULFLLD,188.450000,,,,,,,188.450000,1.000000000000,2
08536,DIRECT_VIA_NASH,739.000000,430.780000,0.582922868742,49.780000,0.067361299053,93.510000,0.126535859269,,,13
11224,FULFLLD,248.080000,,,,,,,,,4
10456,FULFLLD,79.790000,,,,,16.780000,0.210302042863,,,9
10504,FULFLLD,430.240000,,,,,0.000000,0E-12,,,3
11701,DIRECT_VIA_NASH,178.410000,178.410000,1.000000000000,,,,,,,2
11703,DIRECT_VIA_NASH,115.440000,,,,,,,115.440000,1.000000000000,1
07002,FULFLLD,30.810000,30.810000,1.000000000000,,,,,,,1
11221,FULFLLD,12081.500000,267.320000,0.022126391590,,,1303.690000,0.107907958449,4739.910000,0.392327939411,245
11233,FULFLLD,8227.550000,1678.090000,0.203959866546,,,921.200000,0.111965287358,1835.760000,0.223123530091,115
10017,FULFLLD,12728.410000,2651.290000,0.208297030030,,,2464.870000,0.193651053038,2246.740000,0.176513798660,194
07601,FULFLLD,2214.170000,148.570000,0.067099635529,,,133.640000,0.060356702512,1931.960000,0.872543661959,39
11374,FULFLLD,2954.440000,1143.190000,0.386939656923,,,506.280000,0.171362424013,1127.490000,0.381625621099,71
10304,FULFLLD,967.330000,324.120000,0.335066626694,,,,,643.210000,0.664933373306,14
10006,FULFLLD,1527.620000,371.610000,0.243260758566,,,239.080000,0.156504889960,115.350000,0.075509616266,26
11561,DIRECT_VIA_NASH,1303.610000,264.840000,0.203158920229,,,162.810000,0.124891647042,710.490000,0.545017298118,14
10454,FULFLLD,996.940000,,,,,996.940000,1.000000000000,,,27
11021,DIRECT_VIA_NASH,385.620000,,,,,160.310000,0.415720138997,225.310000,0.584279861003,9
11229,FULFLLD,521.750000,496.120000,0.950876856732,,,,,25.630000,0.049123143268,11
11756,DIRECT_VIA_NASH,210.970000,157.760000,0.747784045125,,,,,,,3
11214,FULFLLD,379.310000,,,,,126.000000,0.332182120166,110.320000,0.290843900767,3
07606,FULFLLD,176.060000,93.320000,0.530046575031,,,82.740000,0.469953424969,,,2
10027,FULFLLD,7816.270000,1623.620000,0.207723121131,,,1236.120000,0.158147044562,3751.440000,0.479952714018,168
10038,FULFLLD,12414.300000,2757.470000,0.222120457859,,,1251.460000,0.100807939231,1733.440000,0.139632520561,321
10018,FULFLLD,17355.420000,6847.910000,0.394568958861,,,2836.260000,0.163422147087,4977.890000,0.286820486050,314
11231,FULFLLD,10293.510000,3649.260000,0.354520469694,,,375.350000,0.036464723889,5021.780000,0.487858854754,157
11217,FULFLLD,21708.470000,3625.750000,0.167020061755,,,2849.190000,0.131247849342,4445.420000,0.204778134986,320
10065,FULFLLD,16700.790000,3042.650000,0.182185992399,,,2430.460000,0.145529642610,5780.000000,0.346091412442,253
07631,FULFLLD,3442.340000,2988.980000,0.868298889709,,,68.750000,0.019971879594,384.610000,0.111729230698,37
10007,FULFLLD,3403.640000,888.280000,0.260979422031,,,289.610000,0.085088317213,593.960000,0.174507292193,52
07030,FULFLLD,12333.630000,2569.780000,0.208355528745,,,2430.420000,0.197056341077,3840.870000,0.311414401113,280
10004,FULFLLD,5366.650000,1058.760000,0.197285084736,,,2585.530000,0.481777272600,1118.060000,0.208334808493,162
11209,FULFLLD,3044.350000,444.400000,0.145975331352,,,566.560000,0.186102123606,1978.360000,0.649846436842,56
07083,FULFLLD,2132.600000,795.850000,0.373182969146,,,228.500000,0.107146206508,438.420000,0.205580043140,48
11355,FULFLLD,3417.030000,1813.350000,0.530680152062,,,,,71.190000,0.020833882055,61
10155,FULFLLD,698.530000,,,,,,,590.040000,0.844688130789,16
11373,FULFLLD,693.650000,215.560000,0.310761911627,,,213.020000,0.307100122540,155.130000,0.223643047647,21
11385,FULFLLD,1231.770000,147.020000,0.119356698085,,,392.350000,0.318525374055,478.260000,0.388270537519,32
07052,FULFLLD,3033.080000,731.550000,0.241190473050,,,35.660000,0.011757025862,556.980000,0.183635116779,44
07003,FULFLLD,1058.680000,372.420000,0.351777685420,,,29.880000,0.028223825896,144.010000,0.136027883780,19
08859,FULFLLD,291.800000,,,,,,,291.800000,1.000000000000,10
10607,FULFLLD,183.820000,,,,,,,,,7
10570,FULFLLD,1894.100000,,,,,,,,,15
08502,DIRECT_VIA_NASH,377.880000,81.610000,0.215968032180,,,,,167.140000,0.442309727956,4
11364,DIRECT_VIA_NASH,342.910000,,,,,88.890000,0.259222536526,196.270000,0.572365926920,4
08520,DIRECT_VIA_NASH,21.140000,,,21.140000,1.000000000000,,,,,2
07092,FULFLLD,79.950000,,,,,,,,,2
07503,FULFLLD,64.810000,64.810000,1.000000000000,,,,,,,1
11222,FULFLLD,15694.030000,2691.760000,0.171514900889,,,856.770000,0.054592096485,5140.700000,0.327557676390,310
11220,FULFLLD,9493.790000,2066.160000,0.217632789434,,,899.070000,0.094700851820,4238.310000,0.446429718795,149
10604,FULFLLD,2082.710000,,,,,106.040000,0.050914433599,,,32
10457,FULFLLD,2429.940000,,,,,1009.990000,0.415644007671,,,40
11225,FULFLLD,7129.310000,2045.890000,0.286968865150,,,224.060000,0.031428006357,2480.990000,0.347998614172,120
10013,FULFLLD,17167.730000,7914.030000,0.460982902224,,,125.680000,0.007320711591,3500.610000,0.203906398808,205
07047,FULFLLD,8211.430000,1840.720000,0.224165583826,,,726.270000,0.088446226784,982.730000,0.119678302074,95
11369,FULFLLD,963.480000,,,,,,,198.000000,0.205505044215,29
06830,FULFLLD,4403.580000,,,,,1608.770000,0.365332297812,,,52
11243,FULFLLD,1533.310000,,,,,,,1533.310000,1.000000000000,20
11238,FULFLLD,27490.660000,5311.890000,0.193225262689,,,2099.980000,0.076388853523,5172.410000,0.188151539468,452
11418,FULFLLD,845.260000,69.800000,0.082578141637,,,365.060000,0.431890779169,63.790000,0.075467903367,15
10461,FULFLLD,1409.220000,,,,,1409.220000,1.000000000000,,,13
07922,FULFLLD,819.230000,463.030000,0.565201469673,,,85.520000,0.104390708348,270.680000,0.330407821979,18
11417,FULFLLD,52.210000,52.210000,1.000000000000,,,,,,,6
07666,FULFLLD,1025.690000,,,,,155.410000,0.151517515039,639.170000,0.623160994063,15
10528,FULFLLD,93.770000,,,,,,,,,5
07946,DIRECT_VIA_NASH,224.620000,155.140000,0.690677588817,,,31.250000,0.139123853619,,,5
08824,FULFLLD,191.240000,78.670000,0.411367914662,,,33.340000,0.174335912989,79.230000,0.414296172349,3
07062,FULFLLD,99.620000,,,,,99.620000,1.000000000000,,,2
10475,FULFLLD,672.950000,,,,,672.950000,1.000000000000,,,2
07758,DIRECT_VIA_NASH,4.120000,,,,,4.120000,1.000000000000,,,1
08823,FULFLLD,128.110000,,,,,,,128.110000,1.000000000000,1
11249,FULFLLD,14830.980000,2116.220000,0.142689154729,,,689.890000,0.046516818174,3668.880000,0.247379471889,264
10010,FULFLLD,23389.140000,4236.510000,0.181131499491,,,2911.610000,0.124485551842,6224.490000,0.266127356542,408
11375,FULFLLD,11968.020000,2398.150000,0.200379845622,,,1819.570000,0.152036009298,3576.400000,0.298829714523,176
10533,FULFLLD,824.520000,,,,,,,,,19
07029,FULFLLD,2740.310000,681.770000,0.248793019768,,,534.600000,0.195087417117,1196.610000,0.436669573880,80
07093,FULFLLD,3586.840000,2466.840000,0.687747432280,,,603.030000,0.168122915993,516.970000,0.144129651727,63
11218,FULFLLD,3293.940000,418.090000,0.126927023564,,,400.420000,0.121562627127,1369.660000,0.415812067008,63
10471,FULFLLD,1193.580000,,,,,,,,,36
07067,FULFLLD,561.080000,292.480000,0.521280387823,,,145.360000,0.259071790119,123.240000,0.219647822057,9
07087,FULFLLD,2732.340000,705.070000,0.258046216796,,,,,1715.890000,0.627992855940,49
07071,FULFLLD,1752.210000,500.600000,0.285696349182,,,56.620000,0.032313478407,1194.990000,0.681990172411,35
08902,FULFLLD,1121.430000,302.920000,0.270119401122,,,194.960000,0.173849460064,623.550000,0.556031138814,18
06903,FULFLLD,279.720000,,,,,279.720000,1.000000000000,,,8
11367,FULFLLD,133.960000,,,,,,,0.000000,0E-12,4
10538,FULFLLD,109.490000,,,,,109.490000,1.000000000000,,,4
07656,DIRECT_VIA_NASH,47.700000,,,,,,,47.700000,1.000000000000,1
11416,FULFLLD,8.940000,,,,,8.940000,1.000000000000,,,1
11213,FULFLLD,6260.880000,408.670000,0.065273571766,,,2315.700000,0.369868133553,2833.300000,0.452540217989,76
10128,FULFLLD,30613.280000,5087.220000,0.166176901005,,,3560.640000,0.116310307161,9441.530000,0.308412884866,571
10026,FULFLLD,14991.260000,2017.960000,0.134609098902,48.160000,0.003212538506,1526.470000,0.101823996115,4407.690000,0.294017314088,145
07304,FULFLLD,19412.240000,8318.430000,0.428514689701,,,2587.990000,0.133317432713,7860.940000,0.404947600071,366
07076,FULFLLD,6631.410000,623.170000,0.093972473426,,,363.920000,0.054878223485,5505.200000,0.830170355927,45
07302,FULFLLD,30811.260000,5665.510000,0.183877906973,,,5938.760000,0.192746418030,10660.740000,0.346001429348,665
11226,FULFLLD,6889.170000,441.490000,0.064084642998,,,606.110000,0.087980119521,3733.950000,0.542002882786,178
10029,FULFLLD,11037.850000,2537.130000,0.229857263869,,,697.690000,0.063208867669,4412.030000,0.399718242230,200
07042,FULFLLD,2901.070000,613.040000,0.211315135450,,,1265.660000,0.436273512876,265.840000,0.091635155305,42
10470,FULFLLD,2095.810000,,,,,,,,,18
08540,FULFLLD,13887.910000,6217.210000,0.447670671829,,,1940.580000,0.139731608284,5730.120000,0.412597719887,152
10514,FULFLLD,1298.740000,,,,,,,,,18
07023,FULFLLD,633.700000,142.790000,0.225327442007,,,318.140000,0.502035663563,172.770000,0.272636894430,8
08857,FULFLLD,1201.370000,193.330000,0.160924611069,,,,,1008.040000,0.839075388931,17
06807,FULFLLD,699.520000,,,,,,,,,11
08852,FULFLLD,231.340000,82.490000,0.356574738480,,,,,148.850000,0.643425261520,4
10171,FULFLLD,52.880000,,,,,52.880000,1.000000000000,,,2
07452,DIRECT_VIA_NASH,127.620000,49.830000,0.390456041373,,,,,,,2
11212,FULFLLD,104.870000,,,,,,,104.870000,1.000000000000,3
07401,DIRECT_VIA_NASH,226.480000,120.700000,0.532938890851,,,105.780000,0.467061109149,,,2
10023,FULFLLD,33315.970000,5035.150000,0.151133225297,95.680000,0.002871895971,4221.220000,0.126702599384,9345.830000,0.280521023401,490
07110,FULFLLD,4404.030000,1481.240000,0.336337400063,,,688.940000,0.156433993411,1755.230000,0.398550872723,66
07040,FULFLLD,7127.040000,1543.770000,0.216607455550,,,2089.810000,0.293222712374,1787.680000,0.250830639368,124
10314,FULFLLD,725.770000,248.960000,0.343028783223,,,,,476.810000,0.656971216777,17
11230,FULFLLD,3951.220000,1311.330000,0.331879773842,,,198.350000,0.050199685161,1931.100000,0.488735124848,70
07069,FULFLLD,939.360000,301.910000,0.321399676375,,,140.790000,0.149878640777,245.470000,0.261316215296,12
07102,FULFLLD,3680.630000,779.180000,0.211697453968,,,1238.740000,0.336556513423,915.380000,0.248701988518,60
07603,FULFLLD,1646.160000,,,,,,,1646.160000,1.000000000000,13
08873,FULFLLD,1108.510000,769.510000,0.694184084943,,,147.680000,0.133223877096,191.320000,0.172592037961,30
07032,FULFLLD,2100.460000,,,,,,,300.150000,0.142897270122,33
10704,FULFLLD,263.990000,,,,,,,,,10
10451,FULFLLD,711.890000,,,,,394.520000,0.554186742334,,,28
08542,FULFLLD,258.510000,170.460000,0.659394220726,,,,,88.050000,0.340605779274,4
07626,DIRECT_VIA_NASH,43.300000,,,,,43.300000,1.000000000000,,,1
